alpha,delta,id,diameter
259.6458333333333,-21.801666666666666,LDN87,2.0
260.12499999999994,-22.049444444444447,LDN88,10.0
264.8916666666666,-24.859722222222224,LDN90,11.0
259.6208333333333,-21.701666666666664,LDN89,4.0
260.87499999999994,-22.4625,LDN91,8.0
259.74583333333334,-21.717777777777776,LDN92,4.0
270.7416666666667,-27.86888888888889,B86 / LDN93 / CB107,5.0
261.25,-22.6,B262,30.0
259.99583333333334,-21.766666666666666,LDN94,12.0
259.99583333333334,-21.683333333333334,LDN95,6.0
272.03749999999997,-28.325277777777778,LDN96,10.0
259.04166666666663,-20.98777777777778,B62 / LDN100 / BDN3.06+9.92,18.0
271.8374999999999,-28.176111111111112,LDN97,6.0
259.02916666666664,-20.95583333333333,LDN104 / P15 / LM229,10.0
259.74583333333334,-21.384444444444444,LDN99,18.0
260.4583333333333,-21.80666666666667,LDN101 / CB80,2.5
261.70416666666665,-22.575277777777778,FeSt1-460,143.0
261.325,-22.326944444444443,FeSt2-318,6.0
248.95416666666662,-13.951388888888888,LDN98,6.0
260.5833333333333,-21.86416666666667,B67a / LDN102 / P16,11.0
268.77916666666664,-26.524444444444445,FeSt1-461,45.0
260.3708333333333,-21.715,LDN103,6.0
249.0625,-13.91388888888889,LDN105,2.0
261.5,-22.29277777777778,LDN107,9.0
272.575,-28.300833333333333,B90 / LDN108 / P17 / LM249,3.0
249.11666666666667,-13.919444444444444,LDN106,2.0
258.7416666666667,-20.510277777777777,B61 / LDN111 / CB76 / LM228 / P18,11.0
264.76249999999993,-24.110555555555557,B83 / LDN109,6.0
264.64166666666665,-23.930555555555557,B81,1.0
261.2833333333333,-21.947222222222223,B75 / LDN112,11.0
258.44999999999993,-20.15,B251,13.0
252.4666666666666,-16.085277777777776,LDN110,36.0
264.63749999999993,-23.861111111111114,LDN113,14.0
265.0125,-24.02583333333333,LDN114 / FeSt1-462,42.0
264.6583333333333,-23.8,B82,2.0
264.2833333333333,-23.579444444444444,FeSt2-319,6.0
272.0583333333333,-27.691666666666666,FeSt2-320,6.0
253.4666666666666,-16.664166666666667,LDN115,23.0
271.6333333333333,-27.49388888888889,LDN116,3.0
249.87499999999994,-14.0975,LDN121 / CB66 / MLB58 / LM196 / MBM142,13.0
261.2458333333333,-21.710555555555555,LDN117,25.0
270.77916666666664,-26.998055555555556,LDN119,35.0
263.0541666666667,-22.75,B269,60.0
264.3583333333333,-23.529166666666665,FeSt1-463,20.0
253.71666666666658,-16.74638888888889,LDN118,14.0
253.82499999999996,-16.745833333333334,LDN122 / P19 / LM223,7.0
264.4,-23.416666666666668,B272,45.0
271.57916666666665,-27.25,B299 / LDN120,8.0
271.9083333333333,-27.409166666666664,LDN123,3.0
273.28749999999997,-27.985833333333336,LDN124,125.0
269.59999999999997,-26.17027777777778,BDN3.85-1.07,50.0
264.00416666666666,-23.030833333333334,LDN125 / FeSt1-466,70.0
265.76249999999993,-24.022222222222222,LDN126,36.0
253.71249999999998,-16.441388888888888,LM221 / LDN129-2,2.5
272.0333333333333,-27.308611111111112,LDN127,5.0
262.74999999999994,-22.203333333333333,LDN128 / FeSt1-464,54.0
266.26249999999993,-24.18638888888889,LDN130,33.0
295.97499999999997,-35.79694444444444,Corona Australis-East DN Complex,180.0
253.77916666666664,-16.366944444444446,LDN129 / P20 / LM222 / LDN129-1,4.0
261.2458333333333,-21.210555555555555,LDN131,36.0
269.775,-26.002777777777776,LDN133,21.0
253.71666666666658,-16.24638888888889,LDN132,14.0
262.25,-21.70583333333333,LDN136,23.0
270.5458333333333,-26.295833333333334,LDN135 / FeSt2-321,10.0
237.70416666666665,-4.103888888888888,CB63,11.0
238.4083333333333,-4.646944444444444,LDN134 / MBM36 / MLB40,35.0
260.9916666666666,-20.878611111111113,LDN138,61.0
252.71249999999998,-15.417499999999999,LDN137,57.0
271.07916666666665,-26.49638888888889,FeSt1-467,75.0
259.18749999999994,-19.720555555555553,LDN139,20.0
268.26666666666665,-25.01,LDN140,60.0
252.72499999999997,-15.366111111111111,LM219 / LDN141-2,7.0
238.36249999999998,-4.564166666666667,LM147 / LDN134A,5.0
252.71249999999998,-15.250833333333333,LDN141,17.0
252.7583333333333,-15.285277777777777,LM220 / LDN141-3,7.0
265.75833333333327,-23.522222222222222,LDN142,73.0
272.52916666666664,-27.066111111111113,LDN143 / FeSt1-468,35.0
264.51666666666665,-22.733333333333334,B274,18.0
265.12916666666666,-23.025277777777777,B277 / LDN144,14.0
271.0249999999999,-26.16333333333333,LDN147,13.0
253.98749999999998,-15.95111111111111,LM224 / CB68-3,12.0
248.8208333333333,-12.268611111111111,LDN145,23.0
254.09166666666664,-15.994444444444444,LDN146,16.0
254.33333333333331,-16.14611111111111,CB68 / LM226 / CB68-1,4.5
254.2166666666666,-16.030555555555555,LM225 / CB68-2,3.0
261.7416666666667,-20.875,B266 / LDN149,40.0
